t	y1	y2
0.0	1.3644494866200039	0.66250265577807665
0.625	1.1658513306001483	0.64977285301518573
1.25	0.6844954303315048	0.61207264390773541
1.875	0.18614267706780785	0.5508508263492039
2.5	0.03225914425683237	0.46846012045477509
3.125	0.01598620686799052	0.3680667548467314
3.75	0.010756644658566912	0.25352879026414199
4.375	0.006992903846007768	0.1292478564522852
5.0	0.0	4.0566587841262112e-17
5.625	-0.006992903846007768	-0.12924785645228512
6.25	-0.010756644658566912	-0.25352879026414188
6.875	-0.01598620686799052	-0.36806675484673118
7.5	-0.03225914425683237	-0.46846012045477503
8.125	-0.18614267706780785	-0.55085082634920401
8.75	-0.6844954303315048	-0.61207264390773541
9.375	-1.1658513306001483	-0.64977285301518573
10.0	-1.3644494866200039	-0.66250265577807665
10.625	-1.1658513306001483	-0.64977285301518573
11.25	-0.6844954303315048	-0.61207264390773541
11.875	-0.18614267706780785	-0.55085082634920413
12.5	-0.03225914425683237	-0.46846012045477514
13.125	-0.01598620686799052	-0.36806675484673135
13.75	-0.010756644658566912	-0.25352879026414227
14.375	-0.006992903846007768	-0.12924785645228543
15.0	0.0	-1.2169976352378632e-16
15.625	0.006992903846007768	0.12924785645228518
16.25	0.010756644658566912	0.2535287902641421
16.875	0.01598620686799052	0.36806675484673113
17.5	0.03225914425683237	0.46846012045477486
18.125	0.18614267706780785	0.5508508263492039
18.75	0.6844954303315048	0.61207264390773519
19.375	1.1658513306001483	0.64977285301518573
