B	NuOrig	NuModel
0.50009424777960765	149.97173099469967	149.97173099469964
0.60010555751316064	139.97537424598477	139.9753742459848
0.70011686724671351	132.8349656332845	132.8349656332845
0.80013069025438943	129.97876630245838	129.97876630245841
0.90014702653618806	129.97876630245838	129.97876630245838
1.0001683893662323	133.97743962385232	133.97743962385226
1.1001998052927684	144.51920390741148	144.51920390741148
1.2002500707752257	165.79878214168195	165.79878214168195
1.3003543716513251	216.86396119996667	216.86396119996672
1.4006346017160249	360.55085272153474	360.55085272153468
1.5016135219868838	855.08020619117428	855.08020619117565
1.6042009376963804	2083.9035319356694	2083.9035319356672
1.7085287957359656	3972.423535932523	3972.4235359325212
1.8147177332635376	6453.8962645928777	6453.8962645928732
1.9239313961979856	9898.481846927687	9898.481846927687
