t	y1	y2
0.0	0.0	0.0
1.25	1.6044606399182559	0.82226047463716501
2.5	1.6933286320657182	1.5193392458205857
3.75	1.7406221918562081	1.9851123896723821
5.0	1.755703504073264	2.1486701672851818
6.25	1.7406207039814663	1.9851123896723821
7.5000000000000009	1.6933265888594242	1.519339245820585
8.75	1.6044612254895601	0.82226047463716434
10.0	2.9113839344466244e-17	-6.9106503253915769e-16
11.25	-1.6044606399182362	-0.82226047463716478
12.499999999999998	-1.693328632065672	-1.5193392458205845
13.749999999999998	-1.7406221918562181	-1.9851123896723815
14.999999999999998	-1.7557035040732096	-2.1486701672851818
16.249999999999996	-1.7406207039814299	-1.9851123896723826
17.499999999999996	-1.6933265888594176	-1.5193392458205872
18.75	-1.6044612254895925	-0.82226047463716456
