B	NuOrig	NuModel
0.50009424777960765	149.97173099469967	118.07453914378669
0.60010555751316064	139.97537424598477	122.08690567967099
0.70011686724671351	132.8349656332845	127.26659911405349
0.80013069025438943	129.97876630245838	133.93000344646012
0.90014702653618806	129.97876630245838	142.51314530956085
1.0001683893662323	133.97743962385232	153.82899798997047
1.1001998052927684	144.51920390741148	169.04048558902616
1.2002500707752257	165.79878214168195	190.17860654176189
1.3003543716513251	216.86396119996667	221.17675493040792
1.4006346017160249	360.55085272153474	270.49818957419308
1.5016135219868838	855.08020619117428	361.55346929352839
1.6042009376963804	2083.9035319356694	583.62177937451816
1.7085287957359656	3972.423535932523	1847.640195645236
1.8147177332635376	6453.8962645928777	2139.7288722227413
1.9239313961979856	9898.481846927687	2140.4358966470695
