x	NumA	SymA
0.49200000000000005	80.35047624939331	81.838776404094233
2.117666666666667	76.012240840436789	77.49450953831645
3.7433333333333336	66.25466687889255	67.737804428983125
5.3690000000000007	51.425130794050887	52.841017478970016
6.9946666666666673	38.14340503338439	39.298295817221259
8.6203333333333347	27.649772248520037	28.598734867884659
10.246	18.974431697153676	19.753236918249197
11.871666666666666	11.579348817907334	12.213155088095123
13.497333333333334	5.4984872592464455	5.9732674476404615
15.123000000000001	1.7114621802492087	2.0258817298824177
16.748666666666669	0.025076434536138729	0.19553274008426022
18.374333333333333	-0.068939037474175735	0.0
20.0	0.0	0.0
