B	NuOrig	NuModel
0.50009424777960765	149.97173099469967	115.39095292995843
0.60010555751316064	139.97537424598477	120.23990218370204
0.70011686724671351	132.8349656332845	126.02719921810072
0.80013069025438943	129.97876630245838	133.04085967592513
0.90014702653618806	129.97876630245838	141.75526279236436
1.0001683893662323	133.97743962385232	152.85126687583417
1.1001998052927684	144.51920390741148	167.45246153330487
1.2002500707752257	165.79878214168195	187.46039527604495
1.3003543716513251	216.86396119996667	216.85332939136387
1.4006346017160249	360.55085272153474	263.89494717309901
1.5016135219868838	855.08020619117428	352.16292811838593
1.6042009376963804	2083.9035319356694	580.68756851933608
1.7085287957359656	3972.423535932523	1935.4277814918762
1.8147177332635376	6453.8962645928777	1935.9394969044138
1.9239313961979856	9898.481846927687	1936.5116468826786
